AGE,Base Salary,CUM YEARLY CASH,Cap Hit,Dead,Dead Cap,Misc.,Option,PLAYER,Restructure,Roster,Roster Bonus,Signing,Signing Bonus,TEAM,Workout,Workout Bonus,YEAR,Yearly Cash
33,"$5,000,000","$12,200,000","$6,850,000",,"$3,500,000",,,Gerald McCoy,,"$750,000",,"$1,000,000",,Cowboys,"$100,000",,2021,"$5,850,000"
34,"$5,250,000","$18,300,000","$7,100,000",,"$1,000,000",,,Gerald McCoy,,"$750,000",,"$1,000,000",,Cowboys,"$100,000",,2022,"$6,100,000"
28,"$2,000,000","$6,453,125","$3,619,791",,"$11,150,000",,,Rodney Gunter,,"$203,125",,"$1,416,667",,Jaguars,-,,2020,"$6,453,125"
29,"$4,900,000","$11,953,125","$6,916,666",,"$7,733,334",,,Rodney Gunter,,"$250,000",,"$1,416,667",,Jaguars,"$350,000",,2021,"$5,500,000"
30,"$5,400,000","$17,953,125","$7,416,668",,"$1,416,668",,,Rodney Gunter,,"$250,000",,"$1,416,668",,Jaguars,"$350,000",,2022,"$6,000,000"
26,"$1,000,000","$8,058,860","$3,333,333",,"$10,000,000",,,Nick Boyle,,,,"$2,333,333",,Ravens,,,2019,"$8,058,860"
27,"$4,500,000","$12,558,860","$6,833,333",,"$6,666,667",,,Nick Boyle,,,,"$2,333,333",,Ravens,,,2020,"$4,500,000"
28,"$5,500,000","$18,058,860","$7,833,334",,"$2,333,334",,,Nick Boyle,,,,"$2,333,334",,Ravens,,,2021,"$5,500,000"
25,"$3,000,000","$7,000,000","$5,000,000",,"$3,000,000",,,Vonn Bell,,"$1,000,000",,"$1,000,000",,Bengals,-,,2020,"$7,000,000"
26,"$4,100,000","$11,500,000","$5,500,000",,"$2,000,000",,,Vonn Bell,,"$200,000",,"$1,000,000",,Bengals,"$200,000",,2021,"$4,500,000"
27,"$6,100,000","$18,000,000","$7,500,000",,"$1,000,000",,,Vonn Bell,,"$200,000",,"$1,000,000",,Bengals,"$200,000",,2022,"$6,500,000"
32,"$1,500,000","$5,500,000","$2,833,333",,"$8,000,000",,,Case Keenum,,-,,"$1,333,333",,Browns,,,2020,"$5,500,000"
33,"$6,000,000","$11,500,000","$7,333,333",,"$5,166,667",,,Case Keenum,,-,,"$1,333,333",,Browns,,,2021,"$6,000,000"
34,"$5,500,000","$18,000,000","$7,833,334",,"$1,333,334",,,Case Keenum,,"$1,000,000",,"$1,333,334",,Browns,,,2022,"$6,500,000"
26,"$2,750,000","$7,390,625","$4,390,625",,"$10,750,000",,,Eric Murray,,"$140,625",,"$1,500,000",,Texans,,,2020,"$7,390,625"
27,"$5,000,000","$12,640,625","$6,750,000",,"$6,500,000",,,Eric Murray,,"$250,000",,"$1,500,000",,Texans,,,2021,"$5,250,000"
28,"$5,000,000","$17,890,625","$6,750,000",,"$1,500,000",,,Eric Murray,,"$250,000",,"$1,500,000",,Texans,,,2022,"$5,250,000"
28,"$1,160,000","$9,460,000","$4,126,666",,"$8,000,000",,,Tre Boston,,"$250,000",,"$2,666,667",,Panthers,"$50,000",,2020,"$9,460,000"
29,"$2,250,000","$13,010,000","$6,216,666",,"$5,333,334",,,Tre Boston,,"$1,250,000",,"$2,666,667",,Panthers,"$50,000",,2021,"$3,550,000"
30,"$3,690,000","$18,000,000","$7,656,668",,"$2,666,668",,,Tre Boston,,"$1,250,000",,"$2,666,668",,Panthers,"$50,000",,2022,"$4,990,000"
28,"$805,000","$6,953,125","$2,953,125",,"$6,850,000",-,,Alex Okafor,,"$103,125",,"$2,000,000",,Chiefs,"$45,000",,2019,"$6,953,125"
29,"$4,700,000","$12,175,000","$7,221,875",,"$6,000,000","$250,000",,Alex Okafor,,"$171,875",,"$2,000,000",,Chiefs,"$100,000",,2020,"$5,221,875"
30,"$5,600,000","$18,025,000","$7,850,000",,"$2,000,000",-,,Alex Okafor,,"$250,000",,"$2,000,000",,Chiefs,-,,2021,"$5,850,000"
28,"$3,000,000","$6,875,000","$6,875,000",,"$6,500,000",,,Denico Autry,,"$3,875,000",,,,Colts,,,2018,"$6,875,000"
29,"$3,500,000","$11,781,250","$4,906,250",,"$1,000,000",,,Denico Autry,,"$1,406,250",,,,Colts,,,2019,"$4,906,250"
30,"$5,300,000","$17,487,500","$5,706,250",,-,,,Denico Autry,,"$406,250",,,,Colts,,,2020,"$5,706,250"
25,"$17,788,000","$17,788,000","$17,788,000",,-,,,Yannick Ngakoue,,,,,,Jaguars,,,2020,"$17,788,000"
26,"$4,000,000","$7,000,000","$4,750,000",,"$7,000,000",,,Ka'imi Fairbairn,,,,"$750,000",,Texans,,,2020,"$7,000,000"
27,"$3,450,000","$10,450,000","$4,200,000",,"$4,250,000",,,Ka'imi Fairbairn,,,,"$750,000",,Texans,,,2021,"$3,450,000"
28,"$3,550,000","$14,000,000","$4,300,000",,"$1,500,000",,,Ka'imi Fairbairn,,,,"$750,000",,Texans,,,2022,"$3,550,000"
29,"$3,650,000","$17,650,000","$4,400,000",,"$750,000",,,Ka'imi Fairbairn,,,,"$750,000",,Texans,,,2023,"$3,650,000"
21,"$495,000","$11,336,940","$3,205,485",,"$17,630,166",,,Jonah Williams,,,,"$2,710,485",,Bengals,,,2019,"$11,336,940"
22,"$1,296,371","$12,633,311","$4,006,856",,"$14,424,681",,,Jonah Williams,,,,"$2,710,485",,Bengals,,,2020,"$1,296,371"
23,"$2,097,742","$14,731,053","$4,808,227",,"$10,417,825",,,Jonah Williams,,,,"$2,710,485",,Bengals,,,2021,"$2,097,742"
24,"$2,899,113","$17,630,166","$5,609,598",,"$5,609,598",,,Jonah Williams,,,,"$2,710,485",,Bengals,,,2022,"$2,899,113"
25,-,,-,,-,,,Jonah Williams,,,,-,,Bengals,,,2023,-
21,"$480,000","$11,358,368","$3,199,592",,"$17,597,756",,,Josh Rosen,,-,,"$2,719,592",,Dolphins,,,2018,"$11,358,368"
22,"$570,000","$12,638,266","$1,279,898",,"$6,239,388",,,Josh Rosen,,"$709,898",,-,,Dolphins,,,2019,"$1,279,898"
23,"$750,000","$14,808,062","$2,169,796",,"$4,959,490",,,Josh Rosen,,"$1,419,796",,-,,Dolphins,,,2020,"$2,169,796"
24,"$920,000","$17,857,756","$3,049,694",,"$2,879,694",,,Josh Rosen,,"$2,129,694",,-,,Dolphins,,,2021,"$3,049,694"
25,-,,-,,-,,,Josh Rosen,,-,,-,,Dolphins,,,2022,-
30,"$1,500,000","$6,750,000","$3,583,333",,"$6,250,000",,,Dennis Kelly,,"$500,000",,"$1,583,333",,Titans,,,2020,"$6,750,000"
31,"$4,500,000","$11,750,000","$6,583,333",,"$3,166,667",,,Dennis Kelly,,"$500,000",,"$1,583,333",,Titans,,,2021,"$5,000,000"
32,"$5,000,000","$17,250,000","$7,083,334",,"$1,583,334",,,Dennis Kelly,,"$500,000",,"$1,583,334",,Titans,,,2022,"$5,500,000"
21,"$465,000","$11,144,128","$3,134,782",,"$17,241,303",,,Christian McCaffrey,,,,"$2,669,782",,Panthers,,,2017,"$11,144,128"
22,"$1,248,695","$12,392,823","$3,918,477",,"$14,106,521",,,Christian McCaffrey,,,,"$2,669,782",,Panthers,,,2018,"$1,248,695"
23,"$2,032,390","$14,474,489","$4,702,172",,"$10,188,044",,,Christian McCaffrey,,,,"$2,669,782",,Panthers,,,2019,"$2,081,666"
24,"$2,816,090","$17,290,579","$5,485,872",,"$5,485,872",,,Christian McCaffrey,,,,"$2,669,782",,Panthers,,,2020,"$2,816,090"
25,-,,-,,-,,,Christian McCaffrey,,,,-,,Panthers,,,2021,-
22,"$437,469","$11,025,369","$3,084,444",,"$17,115,863",,,John Ross,,,,"$2,646,975",,Bengals,,,2017,"$11,025,369"
23,"$1,242,994","$12,268,363","$3,889,969",,"$14,003,888",,,John Ross,,,,"$2,646,975",,Bengals,,,2018,"$1,242,994"
24,"$2,020,988","$14,307,872","$4,667,963",,"$10,113,919",,,John Ross,,,,"$2,646,975",,Bengals,,,2019,"$2,039,509"
25,"$2,798,981","$17,106,853","$5,445,956",,"$5,445,956",,,John Ross,,,,"$2,646,975",,Bengals,,,2020,"$2,798,981"
26,-,,-,,-,,,John Ross,,,,-,,Bengals,,,2021,-
31,"$1,850,000","$8,050,000","$3,437,500",,"$8,050,000",,,Graham Gano,,-,,"$1,537,500",,Panthers,"$50,000",,2018,"$8,050,000"
32,"$1,950,000","$10,050,000","$3,537,500",,"$5,662,500",,,Graham Gano,,-,,"$1,537,500",,Panthers,"$50,000",,2019,"$2,000,000"
33,"$2,750,000","$12,850,000","$4,337,500",,"$3,075,000",,,Graham Gano,,-,,"$1,537,500",,Panthers,"$50,000",,2020,"$2,800,000"
34,"$3,500,000","$16,600,000","$5,287,500",,"$1,537,500",,,Graham Gano,,"$200,000",,"$1,537,500",,Panthers,"$50,000",,2021,"$3,750,000"
26,"$1,500,000","$7,250,000","$3,500,000",,"$6,500,000",-,,Duron Harmon,-,"$750,000",,"$1,250,000",,Lions,,,2017,"$7,250,000"
27,"$1,500,000","$9,500,000","$3,750,000",,"$5,250,000",-,,Duron Harmon,"$250,000","$750,000",,"$1,250,000",,Lions,,,2018,"$2,250,000"
28,"$2,500,000","$13,000,000","$4,750,000",,"$2,500,000","$250,000",,Duron Harmon,-,"$750,000",,"$1,250,000",,Lions,,,2019,"$3,500,000"
29,"$3,500,000","$17,250,000","$4,250,000",,-,-,,Duron Harmon,-,"$750,000",,-,,Lions,,,2020,"$4,250,000"
31,"$2,000,000","$9,500,000","$5,750,000",,"$9,500,000",,,Chris Harris,,-,,"$3,750,000",,Chargers,,,2020,"$9,500,000"
32,"$5,500,000","$17,000,000","$11,250,000",,"$3,750,000",,,Chris Harris,,"$2,000,000",,"$3,750,000",,Chargers,,,2021,"$7,500,000"
31,"$1,500,000","$9,500,000","$5,500,000",,"$9,500,000",,,Linval Joseph,,-,,"$4,000,000",,Chargers,,,2020,"$9,500,000"
32,"$5,500,000","$17,000,000","$11,500,000",,"$4,000,000",,,Linval Joseph,,"$2,000,000",,"$4,000,000",,Chargers,,,2021,"$7,500,000"
25,"$5,500,000","$8,906,250","$7,906,250",,"$9,500,000",,,A'Shawn Robinson,,"$406,250",,"$2,000,000",,Rams,,,2020,"$8,906,250"
26,"$6,500,000","$16,906,250","$9,000,000",,"$2,500,000",,,A'Shawn Robinson,,"$500,000",,"$2,000,000",,Rams,,,2021,"$8,000,000"
27,"$705,000","$8,000,000","$3,200,000",,"$7,295,000",,,Chris Boswell,-,"$1,295,000",,"$1,200,000",,Steelers,,,2018,"$8,000,000"
